,abstract,title,bart_base,bart_cnn,bart_xsum,t5,gpt2,pegasus_xsum
30,"In this paper, we introduce an unsupervised learning approach to automatically discover, summarize, and manipulate artistic styles from large collections of paintings. Our method is based on archetypal analysis, which is an unsupervised learning technique akin to sparse coding with a geometric interpretation. When applied to neural style representations from a collection of artworks, it learns a dictionary of archetypal styles, which can be easily visualized. After training the model, the style of a new image, which is characterized by local statistics of deep visual features, is approximated by a sparse convex combination of archetypes. This enables us to interpret which archetypal styles are present in the input image, and in which proportion. Finally, our approach allows us to manipulate the coefficients of the latent archetypal decomposition, and achieve various special effects such as style enhancement, transfer, and interpolation between multiple archetypes.",Unsupervised Learning of Artistic Styles with Archetypal Style Analysis<original>,<TITLE>Unsupervised Learning of Artistic Style from Collections of Artworks<TITLE>Unsupervised Learning of Artistic Style Representations from Large Collections<TITLE>Unsupervised Learning of Artistic Style from Large Collections<TITLE>Unsupervised Learning of Artistic Style from Abstractions<TITLE>Unsupervised Archetypal Analysis of Artworks<bart_base>,"<TITLE>Unsupervised Style Discovery, Summarization, and Manipulation from Large Collections of Artworks using Archetypal Analysis.<TITLE>Unsupervised Style Discovery, Summarization, and Manipulation from Large Collections of Artworks with Archetypal Analysis.<TITLE>Unsupervised Style Discovery, Summarization, and Manipulation from Large Collections of Artworks using Archetypal Analysis:<TITLE>Unsupervised Style Discovery, Summarization, and Manipulation from Large Collections of Artworks with Archetypal Analysis:<TITLE>Unsupervised Style Discovery, Summarization, and Manipulation from Large Collections of Artworks with Archetypal Analysis Based<bart_cnn>",<TITLE>Unsupervised Style Discovery from Large Artworks via Archetypal Analysis<TITLE>Unsupervised Style Discovery from Large Artworks using Archetypal Analysis<TITLE>Unsupervised Discovery of Artistic Styles from Large Collections of Paintings<TITLE>Unsupervised Style Discovery from Artworks via Archetypal Analysis<TITLE>Unsupervised Style Discovery from Large Collections of Artworks<bart_xsum>,<TITLE>Unsupervised Learning of Artistic Styles from Paintings<TITLE>Unsupervised Learning of Art Styles from Large Collections<TITLE>Unsupervised Learning of Archetypal Styles<TITLE>Unsupervised Learning of Archetypal Analysis<TITLE>Unsupervised Learning of Artistic Styles<t5_small>,<TITLE> Learning Archetypal Style Representations from Artworks<TITLE> Unsupervised Learning of Artistic Style from Large Collections<TITLE> Unsupervised Learning of Artistic Style Representations<TITLE> Unsupervised Learning of Artistic Style<TITLE> Unsupervised Learning of Artistic Style from Fine Artworks<gpt2>,<TITLE>Unsupervised Discovery and Manipulation of Artistic Styles from Artworks<TITLE>Unsupervised Learning of Artistic Style Representations from Artworks<TITLE>Unsupervised Discovery and Manipulation of Artistic Styles from Large Collections<TITLE>Unsupervised Learning of Artistic Styles from Artworks<TITLE>Unsupervised Learning of Artistic Style Representations<pegasus_xsum>
31,"In this paper we address the problem of learning multimodal word representations by integrating textual, visual and auditory inputs. Inspired by the re-constructive and associative nature of human memory, we propose a novel associative multichannel autoencoder (AMA). Our model first learns the associations between textual and perceptual modalities, so as to predict the missing perceptual information of concepts. Then the textual and predicted perceptual representations are fused through reconstructing their original and associated embeddings. Using a gating mechanism our model assigns different weights to each modality according to the different concepts. Results on six benchmark concept similarity tests show that the proposed method significantly outperforms strong unimodal baselines and state-of-the-art multimodal models.",Associative Multichannel Autoencoder for Multimodal Word Representation<original>,<TITLE>Learning Multimodal Word Representations with Associative Multichannel Autoencoder<TITLE>Learning Multimodal Word Representations with Associative Multichannel Autoencoders<TITLE>Learning Multimodal Word Representations via Associative Multichannel Autoencoder<TITLE>Learning Multimodal Word Representations by Associative Multichannel Autoencoder<TITLE>A Multichannel Autoencoder for Learning Multimodal Word Representations<bart_base>,<TITLE>Associative Multichannel Autoencoder for Learning Multimodal Word Representations with Attribute Recurrent Neural<TITLE>Associative Multichannel Autoencoder for Learning Multimodal Word Representations with Attribute Recurrent Networks<TITLE>Associative Multichannel Autoencoder for Learning Multimodal Word Representations with Attribute-Gated<TITLE>Associative Multichannel Autoencoder for Learning Multimodal Word Representations with Attribute-Based Associ<TITLE>Associative Multichannel Autoencoder for Learning Multimodal Word Representations with Attribute Recurrent Memory<bart_cnn>,<TITLE>Learning Multimodal Word Representations with Associative Multichannel Autoencoders<TITLE>Learning Multimodal Word Representations with Associative Multichannel Autoencoder<TITLE>Learning Multimodal Word Representations with Associative Autoencoders<TITLE>Learning Multimodal Word Representations with Associative Autoencoder<TITLE>Learning Multimodal Word Representations with Associative Autoencoders<bart_xsum>,"<TITLE>Learning Multimodal Word Representations by Integrating Textual, Visual and Auditive Input<TITLE>Learning Multimodal Word Representations by Combining Textual, Visual and Auditive Input<TITLE>Learning Multimodal Word Representations with Textual, Visual and Auditive Inputs<TITLE>Associative Multichannel Autoencoder for Learning Multimodal Word Representations<TITLE>Associative Multichannel Autoencoders<t5_small>",<TITLE> Learning Multimodal Word Representations with Associative Multichannel Autoencoders<TITLE> Learning Multimodal Word Representations using Associative Multichannel Autoencoders<TITLE> Learning Multimodal Word Representations via Associative Multichannel Autoencoder<TITLE> Learning Multimodal Word Representations via Associative Multichannel Autoencoders<TITLE> Learning Multimodal Word Representations with Associative Multichannel Autoencoder<gpt2>,<TITLE>Associative Multimodal Autoencoder for Concept Similarity<TITLE>A Multimodal Autoencoder Based on Associative Memory<TITLE>A Multimodal Autoencoder Based on Associative Memory<TITLE>Associative Multimodal Autoencoder<TITLE>Associative Multimodal Autoencoder<pegasus_xsum>
32,"When training multilingual machine translation (MT) models that can translate to/from multiple languages, we are faced with imbalanced training sets: some languages have much more training data than others. Standard practice is to up-sample less resourced languages to increase representation, and the degree of up-sampling has a large effect on the overall performance. In this paper, we propose a method that instead automatically learns how to weight training data through a data scorer that is optimized to maximize performance on all test languages. Experiments on two sets of languages under both one-to-many and many-to-one MT settings show our method not only consistently outperforms heuristic baselines in terms of average performance, but also offers flexible control over the performance of which languages are optimized.",Balancing Training for Multilingual Neural Machine Translation<original>,<TITLE>Learning to Weight Training Data for Multilingual Machine Translation<TITLE>Optimizing Training Data for Multilingual Machine Translation<TITLE>Weighted Training of Multilingual Machine Translation Models<TITLE>Learning to Weight Training Data for Multilingual MT<TITLE>Weighted Training for Multilingual Machine Translation<bart_base>,<TITLE>Optimizing Training Data for Multilingual Machine Translation with Imbalanced Training Set Learning and Up-Sample Less Refresourced Languages<TITLE>Optimizing Training Data for Multilingual Machine Translation with Imbalanced Training Set Learning and Up-Sample Less Refranco Sam<TITLE>Optimizing Training Data for Multilingual Machine Translation with Imbalanced Training Set Learning and Up-Sample Less Refranz Languages<TITLE>Optimizing Training Data for Multilingual Machine Translation with Imbalanced Training Set Learning and Up-Sample Less Refranz Sam<TITLE>Optimizing Training Data for Multilingual Machine Translation with Imbalanced Training Set Learning and Up-Sample Less Refrancoage<bart_cnn>,<TITLE>Learning to Optimize Training Data for Multilingual Machine Translation<TITLE>Learning to Weight Training Data for Multilingual Machine Translation Models<TITLE>Automatic Weighting of Training Data for Multilingual MT<TITLE>Learning to Weight Training Data for Multilingual Machine Translation<TITLE>Automatic Weighting for Multilingual Machine Translation Models<bart_xsum>,<TITLE>Learning to Weight Multilingual Machine Translation with Data Scorers<TITLE>Learning to Weight Training Data for Multilingual Machine Translation Models<TITLE>Learning to Weight Training Data through a Data Scorer<TITLE>Learning to Weight Training Data for Multilingual Machine Translation<TITLE>Learning to Weight Multilingual Machine Translation Models<t5_small>,<TITLE> Learning to Weight Training Data for Multilingual Machine Translation<TITLE> Learning to Weight Multilingual Machine Translation<TITLE> Improving Multilingual Machine Translation by Weighting Training Data<TITLE> Optimizing for Multilingual Machine Translation<TITLE> Learning to Weight Multilingual Machine Translation via Data Scoring<gpt2>,<TITLE>Automatically Learning to Weight Training Data for Multi-lingual Machine Translation<TITLE>Learning to Weight Training Data for Multi-Lingual MT<TITLE>Learning to Weight Training Data for Multi-lingual Machine Translation<TITLE>Learning to Weight Training Data for Multi-lingual Machine Translation Models<TITLE>Learning to Weight Training Data for Multi-Language Machine Translation<pegasus_xsum>
33,"A major engineering challenge in statistical machine translation systems is the efficient representation of extremely large translation rulesets. In phrase-based models, this problem can be addressed by storing the training data in memory and using a suffix array as an efficient index to quickly lookup and extract rules on the fly. Hierarchical phrasebased translation introduces the added wrinkle of source phrases with gaps. Lookup algorithms used for contiguous phrases no longer apply and the best approximate pattern matching algorithms are much too slow, taking several minutes per sentence. We describe new lookup algorithms for hierarchical phrase-based translation that reduce the empirical computation time by nearly two orders of magnitude, making on-the-fly lookup feasible for source phrases with gaps.",Hierarchical Phrase-Based Translation with Suffix Arrays<original>,<TITLE>Hierarchical Phrase-Based Translation via On-the-fly lookup<TITLE>Lookup Algorithms for Hierarchical Phrase-Based Translation<TITLE>Hierarchical Phrase-Based Translation with Senses with Gaps<TITLE>Lookup Algorithms for Hierarchical Phrase-based Translation<TITLE>Hierarchical Phrase-Based Translation with Gaps<bart_base>,<TITLE>Lookup Algorithms for Hierarchical Phrase-Based Translation with Gaps: An Efficient Lookup Algorithm<TITLE>Lookup Algorithms for Hierarchical Phrase-Based Translation with Gaps: An Effective Lookup Algorithm and<TITLE>Lookup Algorithms for Hierarchical Phrase-Based Translation with Gaps: An Effective Lookup Algorithm Using<TITLE>Lookup Algorithms for Hierarchical Phrase-Based Translation with Gaps: An Efficient Approach to Fly-<TITLE>Lookup Algorithms for Hierarchical Phrase-Based Translation with Gaps: An Efficient Lookup on the<bart_cnn>,<TITLE>Hierarchical Phrase-Based Translation with Gaps: Faster Lookup Algorithms<TITLE>Hierarchical Phrase-Based Translation with Gaps<TITLE>Hierarchical Phrase-based Translation with Gaps<TITLE>Hierarchical Phrase-Based Translation with Gaps<TITLE>Hierarchical Phrase-Based Translation with Gaps<bart_xsum>,<TITLE>Hierarchical Phrase-Based Translation with Gaps<TITLE>Lookup for Hierarchical Phrase-Based Translation<TITLE>Hierarchical Phrase-Based Translation<TITLE>Hierarchical Phrase-based Translation<TITLE>Hierarchical Phrase Based Translation<t5_small>,<TITLE> Lookup Algorithms for Hierarchical Phrase-Based Translation<TITLE> Lookup Algorithms for Hierarchical Phrase-based Translation<TITLE> Hierarchical Phrase-Based Translation Algorithms<TITLE> Hierarchical Phrase-Based Translation<TITLE> Hierarchical Phrase-Based Translation with Gap Search<gpt2>,<TITLE>Hierarchical Phrase-Based Translation with Gap Indexing<TITLE>Hierarchical Phrase-based Translation with Gap Indexing<TITLE>Hierarchical Phrase-Based Translation with Gap Index Rules<TITLE>Hierarchical Phrase-Based Translation with Gaps<TITLE>Hierarchical Phrase-based Translation with Gaps<pegasus_xsum>
34,"We present a hybrid approach to sentence simplification which combines deep semantics and monolingual machine translation to derive simple sentences from complex ones. The approach differs from previous work in two main ways. First, it is semantic based in that it takes as input a deep semantic representation rather than e.g., a sentence or a parse tree. Second, it combines a simplification model for splitting and deletion with a monolingual translation model for phrase substitution and reordering. When compared against current state of the art methods, our model yields significantly simpler output that is both grammatical and meaning preserving.",Hybrid Simplification using Deep Semantics and Machine Translation<original>,<TITLE>A Hybrid Approach to Sentence Simplification with Deep Semantics and Monolingual Translation<TITLE>A Hybrid Approach to Sentence Simplification with Deep Semantics and Monolingual MT<TITLE>Simple Sentence Simplification with Deep Semantics and Monolingual Machine Translation<TITLE>Sentence Simplification with Deep Semantics and Monolingual Machine Translation<TITLE>A Hybrid Approach to Sentence Simplification<bart_base>,"<TITLE>A Hybrid Approach to Simple Sentence Simplification with Deep Semantic and Monolingual Translation Model for Phrase Substitution and<TITLE>A Hybrid Approach to Simple Sentence Simplification with Deep Semantic and Monolingual Machine Translation for Phrase Substitution and<TITLE>A Hybrid Approach to Simple Sentence Simplification with Deep Semantic and Monolingual Machine Translation Model for Phrase Substitution<TITLE>A Hybrid Approach to Simple Sentence Simplification with Deep Semantic and Monolingual Translation Model for Complex Sentence One-<TITLE>A Hybrid Approach to Simple Sentence Simplification with Deep Semantic and Monolingual Translation Model for Phrase Substitution,<bart_cnn>",<TITLE>A Hybrid Approach to Sentence Simplification Using Deep Semantics and Monolingual Machine Translation<TITLE>A Hybrid Approach to Sentence Simplification with Deep Semantics and Monolingual Machine Translation<TITLE>A Hybrid Approach to Sentence Simplification Based on Deep Semantics and Monolingual Translation<TITLE>A Hybrid Approach to Sentence Simplification Using Deep Semantics and Monolingual Machine Translation<TITLE>A Hybrid Approach to Sentence Simplification Using Deep Semantics and Monolingual Translation<bart_xsum>,<TITLE>Combining Deep Semantic and Monolingual Machine Translation for Sentence Simplification<TITLE>Combining Deep Semantics and Monolingual Machine Translation for Sentence Simplification<TITLE>Hybrid Sentence Simplification with Deep Semantics<TITLE>A Hybrid Approach to Sentence Simplification<TITLE>Hybrid Approach to Sentence Simplification<t5_small>,<TITLE> A Hybrid Approach to Sentence Simplification<TITLE> Simple Sentence Simplification Using Deep Semantics and Monolingual Machine Translation<TITLE> Simple Sentence Simplification using Deep Semantics and Monolingual Machine Translation<TITLE> Simple Sentence Simplification Using Deep Semantics and Monolingual Translation<TITLE> Simple Sentence Simplification Using Deep Semantics and Monolingual Translation Models<gpt2>,<TITLE>A Hybrid Approach to Sentence Simplification with Deep Semantics and Monolingual Translation<TITLE>Combining Deep Semantics and Monolingual Machine Translation for Simple Sentence Simplification<TITLE>Combining Deep Semantics and Monolingual Machine Translation for Sentence Simplification<TITLE>Sentence Simplification with Deep Semantics and Monolingual Machine Translation<TITLE>A Hybrid Approach to Sentence Simplification<pegasus_xsum>
35,"Previous work using topic model for statistical machine translation (SMT) explore topic information at the word level. However, SMT has been advanced from word-based paradigm to phrase/rule-based paradigm. We therefore propose a topic similarity model to exploit topic information at the synchronous rule level for hierarchical phrase-based translation. We associate each synchronous rule with a topic distribution, and select desirable rules according to the similarity of their topic distributions with given documents. We show that our model significantly improves the translation performance over the baseline on NIST Chinese-to-English translation experiments. Our model also achieves a better performance and a faster speed than previous approaches that work at the word level.",A Topic Similarity Model for Hierarchical Phrase-based Translation<original>,<TITLE>Topic Similarity Modeling for Hierarchical Phrase-Based Translation<TITLE>Topic Similarity Model for Hierarchical Phrase-Based Machine Translation<TITLE>Topic Similarity Modeling for Hierarchical Phrase-based Translation<TITLE>Topic Similarity Model for Hierarchical Phrase-Based Translation<TITLE>Topic Similarity Model for Hierarchical Phrase-based Translation<bart_base>,<TITLE>A Topic Similarity Model for Hierarchical Phrase-Based Statistical Machine Translation Using Synchronous Rule Level for SMT<TITLE>A Topic Similarity Model for Hierarchical Phrase-Based Statistical Machine Translation Using Synchronous Rule Level for Word-<TITLE>A Topic Similarity Model for Hierarchical Phrase-based Statistical Machine Translation Using Synchronous Rule Level for Word-<TITLE>A Topic Similarity Model for Hierarchical Phrase-Based Statistical Machine Translation using Synchronous Rule Level for Word-<TITLE>A Topic Similarity Model for Hierarchical Phrase-Based Statistical Machine Translation Using Synchronous Rule Level and Word Distribution<bart_cnn>,<TITLE>A Topic Similarity Model for Hierarchical Phrase-Based Translation<TITLE>A Topic Similarity Model for Hierarchical Phrase-based Translation<TITLE>Topic Similarity Model for Hierarchical Phrase-Based Translation<TITLE>Topic Similarity Model for Hierarchical Phrase-Based Translation<TITLE>Topic Similarity Model for Hierarchical Phrase-based Translation<bart_xsum>,<TITLE>Topic Similarity Model for Hierarchical Phrase-Based Translation<TITLE>Topic Similarity Model for Hierarchical Phrase-based Translation<TITLE>Topic Similarity for Hierarchical Phrase-Based Translation<TITLE>Topic Similarity Model for Hierarchical Phrase Based Translation<TITLE>Topic Similarity Model for Statistical Machine Translation<t5_small>,<TITLE> A Topic Similarity Model for Hierarchical Phrase-Based Translation<TITLE> A Topic Model for Hierarchical Phrase-Based Translation<TITLE> A Topic Model for Hierarchical Phrase-Based Statistical Machine Translation<TITLE> Topic Similarity Model for Hierarchical Phrase-Based Translation<TITLE> A Topic Similarity Model for Hierarchical Phrase-based Translation<gpt2>,<TITLE>Topic Similarity Modeling for Hierarchical Phrase-Based Statistical Machine Translation<TITLE>Topic Similarity Model for Hierarchical Phrase-Based Statistical Machine Translation<TITLE>A Topic Similarity Model for Hierarchical Phrase-Based Translation<TITLE>A Topic Similarity Model for Hierarchical Phrase-based Translation<TITLE>Topic Similarity Modeling for Hierarchical Phrase-Based Translation<pegasus_xsum>
36,"This paper presents a set of algorithms for distinguishing personal names with multiple real referents in text, based on little or no supervision. The approach utilizes an unsupervised clustering technique over a rich feature space of biographic facts, which are automatically extracted via a language-independent bootstrapping process. The induced clustering of named entities are then partitioned and linked to their real referents via the automatically extracted biographic data. Performance is evaluated based on both a test set of handlabeled multi-referent personal names and via automatically generated pseudonames.",Unsupervised Personal Name Disambiguation<original>,<TITLE>Unsupervised Clustering of Personal Names with Multiple Real Referents<TITLE>Unsupervised Clustering of Personal Name with Multiple Real Referents<TITLE>Unsupervised Clustering of Personal Names with Multiple Real referents<TITLE>Unsupervised Clustering of Personal Names Using Biographic Facts<TITLE>Multi-Referent Personal Names with Multiple Real Referents<bart_base>,<TITLE>Unsupervised Personal Name Extraction from Multi-Referent Data using Pseudo-on-line Clustering of Ent<TITLE>Unsupervised Personal Name Extraction from Multi-Referent Data using Pseudo-on-line Clustering of Text<TITLE>Unsupervised Personal Name Extraction from Multi-Referent Data using Pseudo-on-line Bootstrapping and Un<TITLE>Unsupervised Personal Name Extraction from Multi-Referent Data using Pseudo-on-line Clustering and Boot<TITLE>Unsupervised Personal Name Extraction from Multi-Referent Data using Pseudo-on-line Clustering of Names<bart_cnn>,<TITLE>Unsupervised Multi-Referent Personal Name Clustering with Biographic Data<TITLE>Unsupervised Multi-Referent Personal Name Recognition with Biographic Data<TITLE>Unsupervised Multi-Referent Personal Name Recognition with Biographic Data<TITLE>Unsupervised Clustering of Multi-Referent Personal Names<TITLE>Unsupervised Multi-Referent Personal Name Recognition<bart_xsum>,<TITLE>Unsupervised Clustering of Personal Names with Multiple Real Referents<TITLE>Discriminating Personal Names with Multiple Real Referents in Text<TITLE>Identifying Personal Names with Multiple Real Referents in Text<TITLE>Learning to distinguish Personal Names with Multiple Real Referents in Text<TITLE>Learning to distinguish personal names with multiple real referents in text<t5_small>,<TITLE> Identifying Personal Names with Multiple Real Referents<TITLE> A Clustering Approach to Identifying Personal Names with Multiple Real Referents<TITLE> Automatic Identification of Personal Names with Multiple Real Referents<TITLE> Identifying Personal Names with Multiple Real Referents<TITLE> Identifying Personal Names with Multiple Real Referents in Text<gpt2>,<TITLE>Unsupervised Clustering of Personal Names with Multiple Real Referents<TITLE>Unsupervised Multi-referent Personal Name Disambiguation<TITLE>Unsupervised Clustering of Multi-referent Personal Names<TITLE>Unsupervised Clustering of Personal Names over Rich Feature Space<TITLE>Unsupervised Multi-referent Personal Name Identification<pegasus_xsum>
37,"Syntactic constituency parsing is a fundamental problem in natural language processing and has been the subject of intensive research and engineering for decades. As a result, the most accurate parsers are domain specific, complex, and inefficient. In this paper we show that the domain agnostic attention-enhanced sequence-to-sequence model achieves state-of-the-art results on the most widely used syntactic constituency parsing dataset, when trained on a large synthetic corpus that was annotated using existing parsers. It also matches the performance of standard parsers when trained only on a small human-annotated dataset, which shows that this model is highly data-efficient, in contrast to sequence-to-sequence models without the attention mechanism. Our parser is also fast, processing over a hundred sentences per second with an unoptimized CPU implementation.",Grammar as a Foreign Language<original>,<TITLE>A Domain-Agnostic Attention-enhanced Sequence-to-Sequence Model for Syntactic Constituency Parsing<TITLE>A Domain-Agnostic Attention-Enhanced Sequence-to-Sequence Model for Syntactic Constituency Parsing<TITLE>A Domain-Agnostic Attention-Enhanced Sequence-to-Sequence Model for Syntactic Constituency Parsing<TITLE>A Domain-Agnostic Attention-enhanced Sequence-to-Sequence Model for Syntactic Constituent Parsing<TITLE>A Domain-Agnostic Attention-Enhanced Sequence-to-Sequence Model for Syntactic Constituent Parsing<bart_base>,<TITLE>Attention-enhanced Sequence-to-Sequence Parsing for Syntactic Constituency Parsing with Domain Agnostic<TITLE>Attention-enhanced Sequence-to-Sequence Parsing with Domain Agnostic Attention for Syntactic Constituency Pars<TITLE>Attention-enhanced Sequence-to-Sequence Parsing for Syntactic Constituency Parsing using Domain Agnostic<TITLE>Attention-enhanced Sequence-to-Sequence Parsing for Syntactic Constituency Parsing with Domain-Ag<TITLE>Attention-enhanced Sequence-to-Sequence Parsing for Syntactic Constituency Parsing with Domain-A<bart_cnn>,<TITLE>Domain Agnostic Attention-enhanced Sequence-to-Sequence Model for Syntactic Constituency Parsing<TITLE>Domain Agnostic Attention-enhanced Sequence-to-Sequence Models for Syntactic Constituency Parsing<TITLE>Domain Agnostic Attention-enhanced Sequence-to-Sequence Model for Syntactic Constituency Parsing<TITLE>Domain Agnostic Attention-enhanced Sequence-to-Sequence Parsing<TITLE>Domain Agnostic Attention-enhanced Sequence-to-Sequence Parsing<bart_xsum>,<TITLE>Domain agnostic Attention-Enhanced Sequence-to-Sequence Parsing<TITLE>Domain Agnostic Attention-Enhanced Sequence-to-Sequence Parsing<TITLE>Domain Agnostic Attention Enhanced Sequence-to-Sequence Parsing<TITLE>Domain Attention-Enhanced Sequence-to-Sequence Parsing<TITLE>Domain Agnostic Attention-Enhanced Semantic Parsing<t5_small>,<TITLE> Domain-Agnostic Attention-Enhanced Sequence-to-Sequence Models for Syntactic Constituency Parsing<TITLE> Domain-Agnostic Attention-Enhanced Sequence-to-Sequence Model for Syntactic Constituency Parsing<TITLE> Domain Agnostic Attention-Enhanced Sequence-to-Sequence Model for Syntactic Constituency Parsing<TITLE> Domain Adaptation for Syntactic Constituency Parsing<TITLE> Attention-enhanced Sequence-to-Sequence Model for Domain-Agnostic Constituency Parsing<gpt2>,<TITLE>A Sequence-to-Sequence Model for Syntactic Constituency Parsing with Attention<TITLE>An Efficient Sequence-to-Sequence Model for Syntactic Constituency Parsing<TITLE>A Sequence-to-Sequence Model for Syntactic Constituency Parsing<TITLE>Domain Attention-Enhanced Sequence-to-Sequence Parsing<TITLE>Syntactic Constituency Parsing with Domain Attention<pegasus_xsum>
38,"Stochastic variance reduction algorithms have recently become popular for minimizing the average of a large, but finite number of loss functions on a Riemannian manifold. The present paper proposes a Riemannian stochastic recursive gradient algorithm (R-SRG), which does not require the inverse of retraction between two distant iterates on the manifold. Convergence analyses of R-SRG are performed on both retractionconvex and non-convex functions under computationally efficient retraction and vector transport operations. The key challenge is analysis of the influence of vector transport along the retraction curve. Numerical evaluations reveal that R-SRG competes well with state-of-the-art Riemannian batch and stochastic gradient algorithms.",Riemannian Stochastic Recursive Gradient Algorithm<original>,<TITLE>Riemannian Stochastic Recursive Gradient Algorithm<TITLE>Riemannian Stochastic Recursive Gradient Algorithms<TITLE>Riemannian Stochastic Recursive Gradient Algorithm.<TITLE>Riemannian Stochastic Residual Gradient Algorithm<TITLE>Riemannian stochastic recursive gradient algorithms.<bart_base>,<TITLE>Riemannian stochastic gradient descent for vector transport and R-SRG with distant iterates on the manifold.<TITLE>Riemannian stochastic gradient descent for vector transport and R-SRG with distant iterates on Manifolds<TITLE>Riemannian stochastic gradient descent for vector transport and R-SRG with distant iterates on Manifold<TITLE>Riemannian stochastic gradient descent for vector transport and R-SRG with distant iterates on manifolds.<TITLE>Riemannian stochastic gradient descent for vector transport and R-SRG with distant iterates on a manifold.<bart_cnn>,<TITLE>Riemannian Stochastic Recursive Gradient Algorithms<TITLE>Riemannian Stochastic Recursive Gradient Algorithm<TITLE>Riemannian Stochastic Recursive Gradient Algorithm<TITLE>Riemannian Stochastic Recursive Gradient Algorithm<TITLE>Riemannian Stochastic Recursive Gradient<bart_xsum>,<TITLE>A Riemannian Stochastic Recursive Gradient Algorithm<TITLE>Riemannian Stochastic Recursive Gradient Algorithms<TITLE>Riemannian Stochastic Recursive Gradient Algorithm<TITLE>Riemannian Stochastic Variance Reduced Algorithms<TITLE>Stochastic Variance Recursive Gradient Algorithms<t5_small>,<TITLE> Riemannian Stochastic Recursive Gradient Algorithm<TITLE> Riemannian Stochastic Recursive Gradient<TITLE> Riemannian Stochastic Gradient Algorithms<TITLE> Riemannian Stochastic Variance Reduction Algorithms<TITLE> Riemannian Variance Reduction Algorithms<gpt2>,<TITLE>Riemannian Gradient Algorithms for Stochastic Variance Reduction.<TITLE>Riemannian Gradient Algorithms for Stochastic Variance Reduction<TITLE>Riemannian Gradient Algorithms for Statistical Variance Reduction<TITLE>Riemannian Gradient Algorithms for Variance Reduction<TITLE>Riemannian Gradient Algorithms<pegasus_xsum>
39,"This paper presents a novel Gaussian process (GP) approach to regression with inputdependent noise rates. We follow Goldberg et al.’s approach and model the noise variance using a second GP in addition to the GP governing the noise-free output value. In contrast to Goldberg et al., however, we do not use a Markov chain Monte Carlo method to approximate the posterior noise variance but a most likely noise approach. The resulting model is easy to implement and can directly be used in combination with various existing extensions of the standard GPs such as sparse approximations. Extensive experiments on both synthetic and real-world data, including a challenging perception problem in robotics, show the effectiveness of most likely heteroscedastic GP regression.",Most Likely Heteroscedastic Gaussian Process Regression<original>,<TITLE>Heteroscedastic Gaussian Process Regression with Noise Variance<TITLE>A Gaussian Process Approach to Regression with Input-Dependent Noise<TITLE>Gaussian Process Regression with Input-Dependent Noise Variance<TITLE>Gaussian Process Regression with Input-Dependent Noise Rates<TITLE>Gaussian Process Regression with Input-Dependent Noise<bart_base>,<TITLE>Gaussian Process Gaussian Process Regression with Input-dependent Noise Rate Estimation for Heteroscedastic GP Regression<TITLE>Gaussian Process Gaussian Process Regression with Input-dependent Noise Rate Estimation for Heteroscedastic Gaussians<TITLE>Gaussian Process Gaussian Process Regression with Input-dependent Noise Rate Estimation for Heteroscedastic Gaussian<TITLE>Gaussian Process Gaussian Process Regression with Input-dependent Noise Rate for Heteroscedastic Noisy PCA.<TITLE>Gaussian Process Gaussian Process Regression with Input-dependent Noise Rate Estimation for Heteroscedastic Gaussian Systems<bart_cnn>,<TITLE>Gaussian Processes with Input-Dependent Noisy Rates<TITLE>Gaussian Processes with Input-Dependent Noise Rates<TITLE>Gaussian Processes with Input-Dependent Noise<TITLE>Gaussian Processes with Input-Dependent Noise<TITLE>Gaussian Processes with Input-Dependent Noise<bart_xsum>,<TITLE>Gaussian Process Regression with Input-Dependent Noise Rates<TITLE>Gaussian Process GP Regression with Input-dependent Noise Rates<TITLE>Gaussian Process Regression with Input-dependent Noise Rates<TITLE>Gaussian Processes for Noise Rate Regression<TITLE>Gaussian Process Regression with Noise Rates<t5_small>,<TITLE> Gaussian Process Regression with Inputdependent Noise Rates<TITLE> Gaussian Process Regression with Input-dependent Noise Rates<TITLE> Gaussian Process Regression with Input Dependent Noise Rates<TITLE> Gaussian Process Regression with Inputdependent Noise Rate<TITLE> Gaussian Process Regression with Input-dependent Noise Rate<gpt2>,<TITLE>Most likely Heteroscedastic Regression with input-dependent noise<TITLE>Most likely Heteroscedastic Regression with Noise<TITLE>Most likely heteroscedastic GP regression<TITLE>Most likely heteroscedastic GP Regression<TITLE>Most likely Heteroscedastic GP Regression<pegasus_xsum>
